,suppl_id,suppl_number,suppl_name
13554,Puuttuu,,BODYTECH BKT AB
13577,0989376-5,,OULUN ENERGIA OY KAUKOLÄMPÖ
13587,1765514-2,,NCC RAKENNUS OY POHJOIS-SUOMI
13660,2584136-7FI,,RAKENNUTTAJATOIMISTO PROMEN OY
14486,Puuttuu,,SANA ST
14667,1495237-9,,YLIKIIMINGIN OMAISHOITAJAT RY
14703,Puuttuu,,ATLAS - OULUN YLIOPISTON MAANT
15042,2169970-3,,SUOMEN TEATTERIRAVINTOLAT OY
15256,0222382-2,,POHJOIS-POHJANMAAN KESÄY.SEURA
15260,1567535-0,,HELSINGIN JA UUDENMAAN SHP
15282,0366233-3,,ELINTARVIKE JA TERVEYS
15648,2468273-9,,TARRASERIF OY/HAUKIPUDAS
15882,23924003,,SUKUPUUN TARINA
16035,Puuttuu,,HAUKIPUTAAN JOKIKYLÄN KOULUTIE
16048,Puuttuu,,TRANÅSLIST AB
16065,Puuttuu,,PUDASJÄRVEN VAPAAEHTOINEN PALO
16601,2671232-1,,OULUN KAUPUNGIN ELINTARVIKE
17943,0245872-8,,KOTIMAISTEN KIELTEN KESKUS
18168,Puuttuu,,OULUNSALON PALOMIESYHDISTYS RY
18172,Puuttuu,,MIKI KURODA
18391,0215606-8,,PÄIJÄT-HÄMEEN SOSIAALI-KA TERV
18518,Puuttuu,,LAHDEN KAUPUNKI
18587,Puuttuu,,SLÖJD-DETALJER
19036,Puuttuu,,KINNULAN KUNTA
19513,2302414-4,,ETELÄ-KARJALAN ULOSOTTOVIRASTO
19625,Puuttuu,,KESKI-POHJANMAAN ULOSOTTOVIRAS
19628,2302414-4,,ETELÄ-SAVON ULOSOTTOVIRASTO
19629,0986674-0,,KYMENLAAKSON ULOSOTTOVIRASTO
19673,Puuttuu,,UROS S.á.r.l
19793,0576797-2,,OULUN VESI-PISTE
19882,0190785-7,,INARIN KUNTA
19890,Puuttuu,,KANSANELÄKELAITOS LASTENHOIDON
19903,0398964--3,,VITABALANS OY
19923,0917250-3,,Oulun Hinauskuljetus Hartikain
20332,Puuttuu,,YLITORNION KUNTA
20455,2288666-6,,LAPIN POLIISILAITOS
20597,24481080,,MH-SPORT OY
20772,10174207,,LEHTIMÄKI MATKAT
20830,1026177-3,,GÖREME PIZZA KEBAB OY HÖYHTYÄ
21308,Puuttuu,,NORRBOTTENS HANDELSKAMMARE SVE
21645,0184988-2,,RANTAPOHJA OY
21868,Puuttuu,,OULU-KAINUU TERVAN TIE
22877,3705465077,,LAPIN MUOVI OY
23496,Puuttuu,,HAIPUSKYLÄN YKSITYISTIEKUNTA
23538,Puuttuu,,NORDIC MARKETING GmbH
24047,23077000,,SUOMEN KALENTERIT OY
24235,0116988-7,,SUOMEN PUNAINEN RISTI
24781,0986674-0,,POHJOIS-KARJALAN ULOSOTTOVIRAS
24828,2296962-1,,PIRKANMAAN ELY-KESKUS
24841,0190557-3,,YLIVIESKAN KAUPUNKI
25118,1876507-9,,OULUN KONTTIVUOKRAUS OY
25553,2468273-9,,TARRASERIF
25572,0993774-8,,POWER FINLAND OY
25591,Puuttuu,,UTAJÄRVEN PALOMIEHET RY
25839,1876507-9,,OULUN KONTTIVUOKRAUS OY MC
26180,Puuttuu,,SCANDINAVIAN KITCHEN IN LA
26181,Puuttuu,,VEIK/VEREIN FÜR EXPERIMENTELLE
26208,0584737-4,,Oulun Arkkitehtikilta Ry
26641,Puuttuu,,FB GELLIVARE EKONOMISK FÖRENIN
26685,Puuttuu,,ELEVEN FS GROUP LIMITED
26705,1751415-5,,TALENTUM LAKIKOULUTUS
26706,Puuttuu,,SUNNINGESOUND HANDELSBOLAG
26747,1546343-8,451584,LEKOLAR-PRINTEL OY
27167,0201472-1,,AMMATTIOPISTO LUOVI
27168,Puuttuu,,MARK PERKINS LANGUAGE INTERNAT
28097,Puuttuu,,FOCUS SHOW LTD
28162,2718015-2,,VALTERI-KOULU
28431,0220266-9,,TTT KUSTANNUS OY TTT-LEHTI
28462,Puuttuu,,F.H.M.CASTERMANS
29140,Puuttuu,,VISUALLIGENT OY
29211,Anonymisoitu,500415,Anonymisoitu
29233,0576687-3,,ANTTILA OY
29256,Puuttuu,,AHO SEBASTIAN
29270,0245872-8,,TAITEEN EDISTÄMISKESKUS/P-POHJ
29271,Puuttuu,,"FUJIYA CO,LTD.DENDAI BRANCH"
29277,0503505-0,,KIINTEISTÖTAHKOLA
29286,Puuttuu,,KURTTILA PENTTI
29303,Puuttuu,,EJAZZLINES.com
29305,Puuttuu,,INFORMA MIDDLE EAST LIMITED
29306,Anonymisoitu,500406,Anonymisoitu
29312,Puuttuu,,OHTAMAA ATTE
29319,0829302-0,,NORTHERN LIGHTS RY
29341,0803151-4,107622,ABBOTT OY
29344,1050191-7,,SK POHJANTÄHTI RY
29364,Puuttuu,,KUKKONEN LASSE
29365,0116988-7,,SPR-Kontti
29374,Puuttuu,,KUNGLIGA BIBLIOTEKET
29383,Puuttuu,,HALUN KAN-KURSSI
29403,Puuttuu,,RORSCHACH PERFORMANCE ASSESSME
29404,Puuttuu,,KAY MILLER AND EILEEN FIONA PI
29409,Puuttuu,,TAKKINEN TEUVO
29413,0209814-4,,HAUKIPUTAAN HEITTO/ SUUNNISTUS
29426,Puuttuu,,DIRK BICKER/DE WERELDREIZER
29434,Puuttuu,106694,"2020 EXHIBITS OHIO, INC"
29446,Puuttuu,,MAIJANSUONTIEN YT ANTTI HAURU
29447,Puuttuu,,PULJUJÄRVI JESSE
29449,Puuttuu,500301,ANDY DEMEULENAERE
29454,Puuttuu,,MIKKOLA NIKO
29490,0829302-0,,"NORTHERN LIGHTS RY, JUNIORIT"
29548,Anonymisoitu,500407,Anonymisoitu
29557,Anonymisoitu,500421,Anonymisoitu
29560,Puuttuu,107341,3D ENTERTAINMENT DISTRIBUTION
29570,Puuttuu,,MATTOLA ARJA ANNELI
29571,Anonymisoitu,500417,Anonymisoitu
29574,Anonymisoitu,500414,Anonymisoitu
29607,Puuttuu,,YSGOL DYFFRYN TAF SCHOOL
29610,2205905-4,,TRUST KAPITAL GROUP
29620,0210207-8,,OULUN TARMO RY
29622,Puuttuu,,KUOKKANEN JANNE
29651,Puuttuu,,REYKJAVIKURBORG
29666,Puuttuu,,CHINMOKU LTD
29675,1048342-1,101633,AALTORAVINTOLA OY
29703,1645784-9,102347,GEOTRIM OY
29732,Puuttuu,,GEBRÜDER MÖNNING GmbH
29751,Puuttuu,,OULUN SEUDUN MELOJAT RY
29764,Puuttuu,,PYÖRÄLÄ MIKA
29773,Puuttuu,,AUMALANTIEN YT TARMO HEMMILÄ
29782,Puuttuu,,SUOMEN VALTIO
29783,Puuttuu,,KALAPUDAS ANTTI
29841,0210207-8,,OULUN TARMO RY SUUNNISTUSJAOST
29860,Puuttuu,105565,3DEEP MEDIA LTD
29866,Puuttuu,,FIERA MILANO CONGRESSI SPA
29886,0195048-9,,OULUN NMKY:N URHEILIJAT RY
29909,1936544-8,,"ILOLA VESA, PUOKKARIN NUORISOK"
29910,Puuttuu,,"TCS CO., LTD."
29911,Puuttuu,,WINTER CYCLING FEDERATION RY
29917,2006043-0,102949,HOPLOP
29933,Puuttuu,,REED MIDEM S.A.
30476,0673018-6,,FYSIKAALINEN HOITOLAITOS FYSIO
31430,Puuttuu,,OULUN ENERGIA SIIRTO JA JAKELU
31486,Puuttuu,,NISSINEN TIMO
32243,1546343-8,452233,LEKOLAR-PRINTEL OY
33605,1802136-0,,PAHKALA ESKO MATIAS
33718,0986674-0,,ELINTARVIKETURVALLISUUSVIRASTO
33889,Puuttuu,,EDITION TARRODI
34530,0190557-3,,JOKILAAKSOJEN PELASTUSLAITOS
34534,Puuttuu,,HAUKIPUTAAN KIRKONKYLÄN ASUKAS
34791,Puuttuu,,SOOVICASE MUSIC HB
34970,2171155-7,,OMIKO OULUN MITTAUS- JA KORJAU
35143,0195048-9,,OULUN NMKY RY./VAKAN VARMAT
35424,Puuttuu,,LIGHTING DESIGN COLLECTIVE SL
35471,0356329-8,,SCANDER
35566,0107801-0,100036,ETRA OY
35576,Anonymisoitu,500446,Anonymisoitu
36035,Puuttuu,,LASINTIEN YT JUSSI HEILALA
36038,Anonymisoitu,500452,Anonymisoitu
36040,0116647-5,110391,JULKISTEN JA HYVINVOINTIALOJEN
36081,Puuttuu,,PYSÄKKITIEN TIEKUNTA MATTI PIL
36082,109296-0,,TALENCO TRADING OY AB
36088,Puuttuu,,PIFFANY COPENHAGEN
37015,Puuttuu,,TOHMAJÄRVEN KUNTA
38147,2686111-6,,ALARMI STABLES
38403,0215606-8,,PÄIJÄT-HÄMEEN HYVINVOINTIKUNTA
39112,23209421,,LAHDEN ALUEEN OSUUSKUNTA START
39113,Puuttuu,,INK PUBLISHING LTD
39180,0187706-6,,OULUN LUISTINSEURA RY.
39337,0503505-0,,KIINTEISTÖ-TAHKOLA OULU OY
39493,Puuttuu,,ARCTIC LINK AB
39528,2197935-0,,GRANO OY
40097,0917250-3,,HARTIKAINEN YHTIÖ
40870,1575244-0,,VIITTOMAKIELIALAN OSUUSKUNTA V
40930,Puuttuu,,OULUN YLIOPISTON ARKKITEHTUURI
41950,2130968-0,,WIREMAN FINLAND OY
42269,Puuttuu,,FLASHBAY LIMITED
42370,1093863-3,,RANTASALMEN KUNTA/SUOMEN TERVE
42915,Puuttuu,,VARSINAIS-SUOMEN ULOSOTTOVIRAS
44270,0210207-8,,OULUN TARMO VOIMISTELUJAOSTO
44743,Puuttuu,,THERMO ELECTRON SWEDEN AB
45160,2423197-0,,OULUN KAUPUNGIN TEATTERI OY
45265,Puuttuu,,TECHMANIA SCIENCE CENTER
45555,8764830,,POHJOIS-SUOMEN OPETTAJAINPÄIVÄ
45567,0245974-7,,OULUN KÄRÄJÄOIKEUS
46400,0245974-7,,ROVANIEMEN HOVIOIKEUS
46401,Puuttuu,,7B/LUOKKARETKITILI-MYLLYTULLIN
47080,0356329-8,,VIDAMIC ERGONOMICS
47089,Puuttuu,,SCHAGERL MUSIC GMBH
47142,Puuttuu,,FINNISH PARTNERS AS
47213,Puuttuu,,EUROPEAN SECRETARIAT
47340,Puuttuu,,LAPSI- JA NUORISOKUORO ACORDE
48799,1645784-9,,GEOTRIM OY
48962,0245974-7,,ESPOON KÄRÄJÄOIKEUS
49046,0195048-9,,Oulun NMKY ry
49099,12707783,,NISSILÄ VEIKKO PETTERI
49355,1079445-7,,POHJOIS-POHJANMAAN AUTISMIYHDI
49364,Puuttuu,,C. F. PETERS LTD.& CO. KG
49368,2288666-6,,OULUN POLIISILAITOS
49397,FI5011123000,,MATTILA ARVO
49497,0955220-7,,KOKKOLAN HALPA-HALLI OY LIMING
49864,1546343-8,454109,LEKOLAR-PRINTEL OY
49942,0209814-4,,HAUKIPUTAAN HEITTO/UINTIJAOSTO
49944,0209814-4,,HAUKIPUTAAN HEITTO SALIBANDY-
50685,0243003-9,,MANNERHEIMIN LASTENSUOJELULIIT
50919,0201472-1,,HENGITYSLIITTO RY
51669,Puuttuu,,NORINNOVA TECHNOLOGY TRANSFER
52066,25830537,,ANTELL-KAHVILAT OY
52256,0245974-7,,VARSINAIS-SUOMEN KÄRÄJÄOIKEUS
52515,Puuttuu,,PIRKKALAN KUNTA
53101,25702172,,KEBCO OY
53602,1079445-7,,POHJOIS-POHJANMAAN AUTISMIN KI
53629,Puuttuu,,KONTIOVIIDAN METSÄTIE
54334,0584737-4,,OULUN ARKKITEHTIKILTA RY
54792,Puuttuu,,COMDECOR OÜ
55099,0986674-0,,KORKEIN HALLINTO-OIKEUS
55227,Puuttuu,,TYRÉNS AB
55724,24502582,,LVI KURIKKA OY
55770,2131125-4,,BOOKY.FI /OP YRITYSPANKKI OYJ
55867,2670456-7,,MEDIPLAST FENNO OY
55968,Puuttuu,,FORESIGHT MARKETING CO. LTD.
56443,0941569-1,,HAANPAA OY
57225,2258680-7,109979,JOKA-PALVELUT OY
57374,2288666-6,,SUOJELUPOLIISI
57504,2160299-1,103285,SOL PALVELUT OY
58259,1057647-6,101649,SMARTUM OY
58262,1580862-7,102231,OULUN ASIOINTIPALVELU
58329,2281634-2,103603,TMI PIA KERÄNEN
58355,2494311-8,104181,PUTAAN KOTITALKKARI OY
58369,2710438-7,110200,NYYMANNI OY
58378,0112496-1,100083,PAPERINKERÄYS OY
58425,2213373-6,103424,SASSIN LIIKENNE OY
58442,2550899-4,108084,EUPHORIA TRAINING
58547,2365190-6,103855,GO ARCTIC OY
58564,2605212-4,112150,TUIRAN FYSIO OY
58580,0721842-4,100970,LIMINGAN PALVELUKOTI OY
58587,0286344-0,100548,EPICOS FYSIKAALINEN HOITOLAITO
58608,2389183-8,103917,S-BUSINESS OY
58609,0559928-6,100710,OULUN AKTIIVIKUNTOUTUS KY
58610,2158463-1,107972,ARKKITEHTITOIMISTO KARSIKAS OY
58616,1711958-5,102392,SOFTERS OY
58626,2485076-3,104157,SLP GROUP OSK
58767,1509374-8,111578,PEAB OY
58780,1838856-8,105164,JÄÄLIN PALVELUKOTI KY
58788,1495237-9,102078,YLIKIIMINGIN OMAISHOITAJAT RY
58873,2098061-6,103150,INVATAKSIPALVELU T. KOIVUKANGA
58875,1996303-4,102935,PJ-TEKNIIKKA OY
58887,1445974-4,101987,YRITETÄÄN YHDESSÄ RY
58892,0187383-1,104370,OULUN KEILAILUTALO OY
58901,2582845-3,111792,ESKOLAN KYLÄPALVELU OY
58958,0116510-6,100122,ELISA OYJ
58979,1575244-0,102224,VIITTOMAKIELIALAN OSUUSKUNTA V
58994,0202635-1,100373,YLIOPISTON APTEEKKI
59007,1893576-0,102717,ERPEKON OY/SIIKAJOEN NUORISOKO
59021,1092304-4,101747,Oulun Palvelukoti Oy
59029,1940636-9,105214,PALVELUKOTI RAUHA OY
59032,1070375-4,101688,KIIMINGIN TAKSI OY
59061,1732410-8,102436,SYMPPIS-KOTI OY
59063,1495532-6,105008,PALVELUKOTI SAARELA OY
59086,2718015-2,110705,VALTERI-KOULU
59137,0906150-4,104738,KEHITYSVAMMAISTEN PALVELUSÄÄTI
59139,2057262-0,103055,YSTÄVÄNTIEN PALVELUKOTI OY
59146,2218733-9,105340,HELPMAX / MAXIVO OY
59186,0779703-2,101043,H JÄRVELIN KY
59196,0498872-2,100656,OMPELUTALO KY
59200,2686111-6,102372,ALARMI STABLES
59265,0955220-7,101409,KOKKOLAN HALPA-HALLI OY KIIMIN
59268,0187366-3,104369,OULUN AUTOKULJETUS OY
59278,0955220-7,109144,KOKKOLAN HALPA-HALLI OY HAUKIP
59315,1263444-9,101879,KEROLA TOIVO ILMARI
59334,2275299-1,103590,KOTI- JA HOIVAPALVELUT LILJANK
59337,2181667-4,103339,PATENIEMEN KODINKONEHUOLTO KY
59343,2354125-6,103820,RTJ GROUP OY
59364,2303278-5,103671,RILLAS OY
59372,2017532-6,102973,ESPERI CARE OY
59378,1802136-0,102558,PAHKALA ESKO MATIAS
59398,2091828-1,109971,UUDENMAAN TUKITUPA OY
59400,2130968-0,103217,WIREMAN FINLAND OY
59401,0111467-5,100074,B. BRAUN MEDICAL OY
59409,1007222-7,104808,KALLE KOISTINEN OY
59424,1787853-0,107173,INSPECTA OY
59488,2496986-0,107913,KAINUUN SOTE
59491,1893659-5,102718,MAINIO VIRE OY
59494,0679480-9,100900,POHJOIS-POHJANMAAN SAIRAANHOIT
59874,1792758-2,105147,RYHMÄKOTI TUPOSVILLA OY
59875,2375618-5,106214,TERAPIAMAAILMA OY
59883,1597873-0,102254,HOIVAKOTI ATZALEA OY
59887,2492641-4,110154,TAKSI P.TURUNEN
59892,2239757-1,108482,PK GROUP OY
59917,0112305-3,100082,NORDEA RAHOITUS SUOMI
59940,0873987-0,104712,OULUN MAA- JA VESIRAKENNUS OY
59995,2083833-7,103114,PRO PELLET OY
59999,0873697-9,101218,FAZER FOOD SERVICES OY
60009,2517508-5,104238,VRJ POHJOIS-SUOMI OY
60017,0124610-9,100146,VANTAAN KAUPUNKI
60082,2247624-5,103501,AKSON/POHJOIS-SUOMEN KOTIAPU J
60112,1854419-6,105167,KOSONEN PÄIVI FYSIOTERAPEUTTI
60132,0184988-2,105704,RANTAPOHJA OY
60140,2110912-8,109648,AK TAUKO OY / AUTOKEIDAS
60152,1936544-8,106049,PUOLIVÄLINKANKAAN SUURALUEEN
60162,0875416-5,101220,WSP FINLAND OY
60164,0907890-4,101282,SODEXO OY
60279,0928667-4,101347,INSINÖÖRITOIMISTO PALOSAARI OY
60281,1935926-7,102822,LM TIETOPALVELUT OY
